1, 310202223061828514434663705713688488062210458219984401827029796910216432087282
2, 651320150151787158109958449825444001761329811354773722584699352506105104709152
3, 1120587501652396961543091999114435386060985507308358716167586286830266884835032
4, 1718004277563657924734064353580662640961177546080739382575690599882701772464922
5, 2443570477885570047682875513224125766461905927671915721809012291663409767598822
6, 3297286102618133330389525478044824762563170652081887733867551362172390870236732
7, 4279151151761347772854014248042759629264971719310655418751307811409645080378652
8, 5389165625315213375076341823217930366567309129358218776460281639375172398024582
9, 6627329523279730137056508203570336974470182882224577806994472846068972823174522
10, 7993642845654898058794513389099979452973592977909732510353881431491046355828472
